English	Swahili		PastTense	PastParticiple
speak	sema	spoke	spoken
speak	ongea	spoke	spoken
speed	harakisha	sped	speeded
speed	harakisha	speeded	sped
spell	endeleza_herufi	spelt	spelt
spell	endeleza_herufi	spelled	spelled
spend	tumia	spent	spent
spill	mwaga	spilt	spilt
spill	mwaga	spilled	spilled
spin	zunguka	spun	spun
spit	tema	spat	spat
spit	tema	spit	spit
split	pasua	split	split
spoil	haribu	spoilt	spoilt
spoil	haribu	spoiled	spoiled
spread	eneza	spread	spread
spring	ruka	sprang	sprung
stand	simama	stood	stood
steal	iba	stole	stolen
stick	ganda	stuck	stuck
sting	uma	stung	stung
stink	nuka	stank	stunk
stink	nuka	stunk	stunk
study	soma	studied	studied
strike	piga	struck	struck
strive	jitahidi	strove	striven
swear	apa	swore	sworn
sweep	fagia	swept	swept
swell	vimba	swelled	swollen
swell	vimba	swelled	swelled
swim	ogolea	swam	swum
swing	pembea	swung	swung
take	chukua	took	taken
teach	fundisha	taught	taught
tear	chana	tore	torn
tell	nena	told	told
think	fikiri	thought	thought
thrive	sitawi	thrived	thrived
thrive	sitawi	throve	thrived
throw	tupa	threw	thrown
thrust	sukuma	thrust	thrust
tread	kanyata	trod	trodden
tread	kanyata	trod	trod
undergo	tangua	underwent	undergone
understand	fahamu	understood	understood
undertake	diriki	undertook	undertaken
undo	tangua	undid	undone
wake	amka	woke	woken
wake	amka	waked	waked
wait	ngoja	waited	waited
wash	fua		washed	washed
wear	vaa		wore	worn
weave	fuma	wove	woven
weep	lia		wept	wept
wet	rowesha	wet	wet
wet	rowesha	wetted	wetted
win	shinda	won	won
wind	zungusha	wound	wound
wring	kamua	wrung	wrung
write	andika	wrote	written
